Luas Tanam Panen dan Produksi Komoditi Padi Tahun 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kecamatan,Januari,,,Februari,,,Maret,,,April,,,Mei,,,Juni,,,Juli ,,,Agustus,,,Sept,,,Okt,,,Nov,,,Des,,,Total,,,IP,,
,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,,,
Gunung Meriah,0,0,0,24,31.7,198.4737,0,229.7,1438.1517,0,0,0,5.8,34.6,216.6306,246,0,0,213.4,0,0,0,5.8,36.3138,19.2,246,1540.206,96.1,213.4,1336.0974,349.8,0,0,0,19.2,120.2112,954.3,780.4,4886.0844,1.971694215,,484
Stm Hulu,0,51.9,324.9459,0,216.2,1353.6282,0,422.9,2647.7769,0,0,0,39.4,23.1,144.6291,100.9,0,0,209.5,0,0,0,39.4,246.6834,39.4,100.9,631.7349,72.1,209.5,1311.6795,63.4,0,0,0,39.4,246.6834,524.7,1103.3,6907.7613,1.441483516,,364
Sibolangit,0,95.1,595.4211,0,1,6.261,0,0,0,30.8,0,0,217.2,0,0,0,0,0,0,2.9,18.1569,0,217.2,1359.8892,248,30.8,192.8388,0,0,0,0,248,1552.728,25,0,0,521,595,3725.295,2.019379845,,258
Kutalimbaru,0,45.2,282.9972,429.6,141.3,884.6793,0,0,0,0,0,0,0,146.1,914.7321,33.6,0,0,396.9,310.4,1943.4144,0,0,0,0,33.6,210.3696,0,396.9,2484.9909,254.7,0,0,0,0,0,1114.8,1073.5,6721.1835,2.488392857,,448
Pancur Batu,0,137.4,860.2614,0,0,0,0,0,0,38.4,0,0,27.9,0,0,148,0,0,0,38.4,240.4224,38.4,27.9,174.6819,27.9,148,926.628,0,0,0,148,38.4,240.4224,66.3,27.9,174.6819,494.9,418,2617.098,2.219282511,,223
Namo Rambe,0,334.5,2094.3045,0,65.4,409.4694,0,0,0,407.5,0,0,120.1,0,0,0,0,0,121.1,407.5,2551.3575,407.5,120.1,751.9461,120.1,0,0,0,121.1,758.2071,121.1,527.6,3303.3036,135.5,0,0,1432.9,1576.2,9868.5882,2.122814815,,675
Biru-biru,256.6,180.7,1131.3627,18.3,18.3,114.5763,2.9,203.8,1275.9918,7.7,237.4,1486.3614,50.9,34.6,216.6306,116.3,2.9,18.1569,223,7.7,48.2097,103.8,50.9,318.6849,101.9,116.3,728.1543,26.9,223,1396.203,261.4,103.8,649.8918,0,101.9,637.9959,1169.7,1281.3,8022.2193,2.275680934,,514
Stm Hilir,195.1,513.2,3213.1452,65.4,65.4,409.4694,0,105.7,661.7877,25.9,177.8,1113.2058,69.2,56.7,354.9987,136.5,0,0,108.6,15.4,96.4194,15.4,69.2,433.2612,81.7,136.5,854.6265,11.5,108.6,679.9446,159.5,15.4,96.4194,0,81.7,511.5237,868.8,1345.6,8424.8016,2.454237288,,354
Bangun Purba,0,12.5,78.2625,11.5,0,0,0,0,0,0,0,0,4.8,12.5,78.2625,33.6,0,0,24,0,0,0,4.8,30.0528,4.8,33.6,210.3696,0,24,150.264,57.7,0,0,0,4.8,30.0528,136.4,92.2,577.2642,2.098461538,,65
