Luas Tanam Panen dan Produksi Komoditi Padi Tahun 2021 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kecamatan,Januari,,,Februari,,,Maret,,,April,,,Mei,,,Juni,,,Juli ,,,Agustus,,,Sept,,,Okt,,,Nov,,,Des,,,Total,,,IP,,
,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,,,
Gunung Meriah,0,96.1,600.625,0,349.8,2186.25,19.2,0,0,100.9,0,0,14.4,0,0,124,19.2,120,206.6,100.9,630.625,103.8,14.4,90,30.8,124,775,19.2,206.6,1291.25,460.4,48.1,300.625,78.8,30.8,192.5,1158.1,989.9,6186.875,2.392768595,,484
Stm Hulu,170.1,72.1,450.625,0,0,0,0,233.5,1459.375,0,10.6,66.25,0,223,1393.75,132.6,0,0,194.1,0,0,0,0,0,19.2,155.7,973.125,132.6,171.1,1069.375,447,0,0,0,19.2,120,1095.6,885.2,5532.5,3.00989011,,364
Sibolangit,0,0,0,25,0,0,0,25,156.25,90.3,25,156.25,0,0,0,128.8,0,0,28.8,0,0,0,90.3,564.375,219.1,128.8,805,0,28.8,180,28.8,0,0,0,219.1,1369.375,520.8,517,3231.25,2.018604651,,258
Kutalimbaru,48.1,0,0,93.2,192.2,1201.25,25.9,0,0,96.1,48.1,300.625,14.4,93.2,582.5,19.2,25.9,161.875,321,96.1,600.625,27.9,14.4,90,19.2,192.2,1201.25,28.8,210.5,1315.625,354.6,27.9,174.375,27.9,19.2,120,1076.3,919.7,5748.125,2.402455357,,448
Pancur Batu,68.2,68.2,426.25,0,148,925,57.7,0,0,41.3,68.2,426.25,53.8,0,0,1.9,0,0,124,62.5,390.625,34.6,53.8,336.25,25.9,9.6,60,9.6,150.9,943.125,144.2,34.6,216.25,34.6,25.9,161.875,595.8,621.7,3885.625,2.671748879,,223
Namo Rambe,49,0,0,221.1,121.1,756.875,48.1,135.5,846.875,18.3,49,306.25,163.4,221.1,1381.875,292.2,48.1,300.625,174,18.3,114.375,9.6,163.4,1021.25,284.5,292.2,1826.25,96.1,366.2,2288.75,258.5,14.4,90,9.6,284.5,1778.125,1624.4,1713.8,10711.25,2.406518519,,675
Biru-biru,106.7,26.9,168.125,184.5,261.4,1633.75,184.5,0,0,72.1,106.7,666.875,0,184.5,1153.125,103.8,184.5,1153.125,236.4,72.1,450.625,81.7,9.6,60,72.1,103.8,648.75,68.2,245.1,1531.875,272,81.7,510.625,81.7,72.1,450.625,1463.7,1348.4,8427.5,2.84766537,,514
Stm Hilir,198.9,40.4,252.5,85.5,96.1,600.625,0,0,0,14.4,198.9,1243.125,81.7,85.5,534.375,184.5,0,0,59.6,45.2,282.5,14.4,81.7,510.625,81.7,184.5,1153.125,141.3,74,462.5,102.8,42.3,264.375,14.4,81.7,510.625,979.2,930.3,5814.375,2.766101695,,354
Bangun Purba,0,0,0,0,57.7,360.625,0,0,0,14.4,0,0,48.1,0,0,0,0,0,0,14.4,90,14.4,48.1,300.625,48.1,0,0,0,0,0,0,14.4,90,14.4,48.1,300.625,139.4,182.7,1141.875,2.144615385,,65
