Luas Tanam Panen dan Produksi Komoditi Padi Tahun 2023 ( Bersih ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kecamatan,Januari,,,Februari,,,Maret,,,April,,,Mei,,,Juni,,,Juli ,,,Agustus,,,Sept,,,Okt,,,Nov,,,Des,,,Total,,,Luas Lahan,IP
,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,,
Gunung Meriah,128,0,0,126,0,0,110,0,0,50,128,800,69,126,787.5,90,110,687.5,115,50,312.5,90,69,431.25,89,90,562.5,0,115,718.75,44,90,562.5,90,89,556.25,1001,867,5418.75,484,2.068181818
Stm Hulu,0,0,0,15,0,0,31,0,0,89,0,0,72,15,93.75,93,31,193.75,70,89,556.25,100,72,450,73,93,581.25,10,70,437.5,70,100,625,100,73,456.25,723,543,3393.75,364,1.986263736
Sibolangit,18,0,0,40,200,1250,54,48,300,68,18,112.5,61,40,250,45,54,337.5,10,68,425,70,61,381.25,50,45,281.25,0,10,62.5,10,70,437.5,70,2,12.5,496,616,3850,258,1.92248062
Kutalimbaru,0,0,0,95,0,0,140,138,862.5,0,0,0,95,95,593.75,113,140,875,28,0,0,30,95,593.75,91,113,706.25,8,28,175,130,30,187.5,30,91,568.75,760,730,4562.5,448,1.696428571
Pancur Batu,48,33,206.25,30,0,0,0,10,62.5,6,48,300,80,30,187.5,2,0,0,6,6,37.5,10,80,500,60,2,12.5,16,6,37.5,12,10,62.5,58,60,375,328,285,1781.25,223,1.470852018
Namo Rambe,191,244,1525,117,277,1731.25,163,0,0,15,191,1193.75,302,117,731.25,200,163,1018.75,19,15,93.75,20,302,1887.5,60,200,1250,250,19,118.75,170,20,125,20,60,375,1527,1608,10050,675,2.262222222
Biru-biru,50,229,1431.25,40,191,1193.75,25,25,156.25,102,50,312.5,119,40,250,101,25,156.25,194,102,637.5,102,119,743.75,120,101,631.25,50,194,1212.5,194,102,637.5,102,120,750,1199,1298,8112.5,514,2.332684825
Stm Hilir,0,224,1400,33,0,0,64,75,468.75,76,0,0,75,33,206.25,30,64,400,75,76,475,70,75,468.75,70,30,187.5,200,75,468.75,30,70,437.5,70,70,437.5,793,792,4950,354,2.240112994
Bangun Purba,25,0,0,0,0,0,18,40,250,24,25,156.25,6,0,0,17,18,112.5,18,24,150,20,6,37.5,6,17,106.25,0,18,112.5,18,20,125,20,6,37.5,172,174,1087.5,65,2.646153846
Galang,75,345,2156.25,197,15,93.75,111,58,362.5,40,75,468.75,226,197,1231.25,350,111,693.75,111,40,250,60,226,1412.5,226,350,2187.5,391,111,693.75,90,60,375,60,226,1412.5,1937,1814,11337.5,710,2.728169014
Tanjung Morawa,910,217,1356.25,500,242,1512.5,404,242,1512.5,676,910,5687.5,987,500,3125,404,404,2525,340,676,4225,1150,987,6168.75,570,404,2525,192,340,2125,100,1150,7187.5,500,570,3562.5,6733,6642,41512.5,2417,2.785684733
Patumbak,0,0,0,0,210,1312.5,95,7,43.75,40,0,0,75,0,0,60,95,593.75,50,40,250,100,75,468.75,45,60,375,66,50,312.5,20,100,625,0,45,281.25,551,682,4262.5,217,2.539170507
Deli Tua,4,2,12.5,0,0,0,2,0,0,2,4,25,6,0,0,3,2,12.5,2,2,12.5,2,6,37.5,6,3,18.75,0,2,12.5,2,2,12.5,2,6,37.5,31,29,181.25,14,2.214285714
Sunggal,72,110,687.5,140,870,5437.5,589,300,1875,190,72,450,365,140,875,300,589,3681.25,454,190,1187.5,350,365,2281.25,520,300,1875,59,454,2837.5,750,350,2187.5,350,520,3250,4139,4260,26625,1563,2.648112604
Hamparan Perak,1225,0,0,1225,600,3750,920,1160,7250,1352,1225,7656.25,1060,1225,7656.25,1640,920,5750,1638,1352,8450,1352,1060,6625,1200,1640,10250,0,1638,10237.5,1000,1352,8450,1352,1200,7500,13964,13372,83575,5678,2.459316661
Labuhan Deli,0,810,5062.5,800,1350,8437.5,243,660,4125,660,0,0,955,800,5000,1210,243,1518.75,1200,660,4125,680,955,5968.75,952,1210,7562.5,600,1200,7500,648,680,4250,680,952,5950,8628,9520,59500,3559,2.424276482
Percut S Tuan,424,582,3637.5,645,960,6000,768,1290,8062.5,445,424,2650,1086,645,4031.25,2123,768,4800,1425,445,2781.25,460,1086,6787.5,1229,2123,13268.75,450,1425,8906.25,1425,460,2875,460,1229,7681.25,10940,11437,71481.25,5078,2.154391493
Batang Kuis,0,0,0,210,900,5625,588,120,750,0,0,0,140,210,1312.5,200,588,3675,680,0,0,40,140,875,120,200,1250,210,680,4250,680,40,250,122,120,750,2990,2998,18737.5,1019,2.934249264
Pantai Labu,390,480,3000,340,1610,10062.5,330,2120,13250,488,390,2437.5,1220,340,2125,670,330,2062.5,1737,488,3050,650,1220,7625,1390,670,4187.5,0,1737,10856.25,1393,650,4062.5,1150,1390,8687.5,9758,11425,71406.25,4144,2.35472973
Beringin,181,0,0,420,1500,9375,502,250,1562.5,768,181,1131.25,990,420,2625,430,502,3137.5,502,768,4800,780,990,6187.5,990,430,2687.5,672,502,3137.5,510,780,4875,780,990,6187.5,7525,7313,45706.25,2680,2.807835821
Lubuk Pakam,192,616,3850,265,0,0,328,328,2050,232,192,1200,480,265,1656.25,531,328,2050,329,232,1450,350,480,3000,400,531,3318.75,325,329,2056.25,329,350,2187.5,350,400,2500,4111,4051,25318.75,1441,2.852879944
Pagar Merbau,300,123,768.75,230,0,0,300,1030,6437.5,188,300,1875,925,230,1437.5,400,300,1875,228,188,1175,190,925,5781.25,924,400,2500,328,228,1425,280,190,1187.5,90,924,5775,4383,4838,30237.5,2087,2.100143747
JUMLAH,4233,4015,25093.75,5468,8925,55781.25,5785,7901,49381.25,5511,4233,26456.25,9394,5468,34175,9012,5785,36156.25,9231,5511,34443.75,6676,9394,58712.5,9191,9012,56325,3827,9231,57693.75,7905,6676,41725,6456,9143,57143.75,82689,85294,533087.5,33992,2.432601789
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kecamatan,Agustus,,,Sept,,,Okt,,,Nov,,,Des,,,Total,,,Luas Lahan,IP,,,,,,,,,,,,,,,,,,,,,
,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,,,,,,,,,,,,,,,,,,,,,,,
Gunung Meriah,90,69,431.25,89,90,562.5,0,115,718.75,44,90,562.5,90,89,556.25,1001,867,5418.75,484,2.068181818,,,,,,,,,,,,,,,,,,,,,
