Luas Tanam Panen dan Produksi Komoditi Padi Tahun 2024 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kecamatan,Januari,,,Februari,,,Maret,,,April,,,Mei,,,Juni,,,Juli ,,,Agustus,,,Sept,,,Okt,,,Nov,,,Des,,,Total,,
,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi
Gunung Meriah,6,0,0,28,44,267.52,50,90,547.2,50,6,36.48,80,28,170.24,86,50,304,45,50,304,50,80,486.4,70,86,522.88,13,45,273.6,20,50,304,0,70,425.6,498,599,3641.92
Stm Hulu,0,10,60.8,0,70,425.6,150,100,608,90,0,0,0,0,0,95,150,912,60,90,547.2,88,0,0,49,95,577.6,10,60,364.8,0,88,535.04,0,49,297.92,542,712,4328.96
Sibolangit,0,0,0,16,10,60.8,200,70,425.6,68,0,0,55,16,97.28,90,200,1216,180,68,413.44,57,55,334.4,40,90,547.2,30,180,1094.4,0,57,346.56,0,40,243.2,736,786,4778.88
Kutalimbaru,0,10,60.8,60,130,790.4,20,30,182.4,26,21,127.68,102,60,364.8,20,20,121.6,30,26,158.08,77,102,620.16,90,20,121.6,120,30,182.4,131,77,468.16,90,90,547.2,766,616,3745.28
Pancur Batu,0,16,97.28,12,12,72.96,30,58,352.64,6,0,0,127,12,72.96,50,30,182.4,180,6,36.48,160,127,772.16,127,50,304,214,180,1094.4,140,160,972.8,116,127,772.16,1162,778,4730.24
Namo Rambe,76,250,1520,47,170,1033.6,100,20,121.6,15,76,462.08,305,47,285.76,150,100,608,21,15,91.2,110,305,1854.4,113,150,912,64,21,127.68,110,110,668.8,110,113,687.04,1221,1377,8372.16
Biru-biru,20,50,304,15,194,1179.52,50,102,620.16,105,20,121.6,119,15,91.2,100,50,304,128,105,638.4,102,119,723.52,119,100,608,100,128,778.24,97,102,620.16,102,119,723.52,1057,1104,6712.32
Stm Hilir,0,200,1216,13,30,182.4,100,70,425.6,78,0,0,75,13,79.04,128,100,608,126,78,474.24,76,75,456,90,128,778.24,128,126,766.08,106,76,462.08,0,90,547.2,920,986,5994.88
Bangun Purba,3,0,0,6,18,109.44,10,20,121.6,24,3,18.24,6,6,36.48,14,10,60.8,0,24,145.92,22,6,36.48,10,14,85.12,1,0,0,0,22,133.76,0,10,60.8,96,133,808.64
Galang,150,391,2377.28,200,90,547.2,250,60,364.8,50,150,912,226,200,1216,330,250,1520,172,50,304,40,226,1374.08,230,330,2006.4,90,172,1045.76,0,40,243.2,40,230,1398.4,1778,2189,13309.12
Tanjung Morawa,344,492,2991.36,491,100,608,300,500,3040,600,344,2091.52,493,491,2985.28,345,300,1824,848,600,3648,800,493,2997.44,869,345,2097.6,1061,848,5155.84,800,800,4864,869,869,5283.52,7820,6182,37586.56
Patumbak,0,66,401.28,45,20,121.6,20,0,0,40,0,0,60,45,273.6,70,20,121.6,140,40,243.2,37,60,364.8,90,70,425.6,70,140,851.2,100,37,224.96,37,90,547.2,709,588,3575.04
Deli Tua,2,0,0,1,2,12.16,1,2,12.16,2,2,12.16,6,1,6.08,4,4,24.32,4,2,12.16,2,6,36.48,6,4,24.32,4,4,24.32,0,2,12.16,0,6,36.48,32,35,212.8
Sunggal,299,59,358.72,278,750,4560,300,350,2128,160,299,1817.92,360,278,1690.24,800,300,1824,320,160,972.8,159,360,2188.8,355,800,4864,983,320,1945.6,159,159,966.72,59,355,2158.4,4232,4190,25475.2
Hamparan Perak,712,0,0,760,1000,6080,996,1352,8220.16,1352,712,4328.96,1060,760,4620.8,1038,996,6055.68,1200,1352,8220.16,320,1060,6444.8,60,1038,6311.04,118,1200,7296,22,320,1945.6,87,60,364.8,7725,9850,59888
Labuhan Deli,536,600,3648,563,648,3939.84,952,680,4134.4,804,536,3258.88,952,563,3423.04,998,952,5788.16,776,804,4888.32,807,952,5788.16,980,998,6067.84,969,776,4718.08,700,807,4906.56,1045,943,5733.44,10082,9259,56294.72
Percut S Tuan,900,450,2736,700,1425,8664,800,460,2796.8,550,900,5472,1550,700,4256,1500,800,4864,630,550,3344,808,1550,9424,1186,1500,9120,1500,630,3830.4,1000,808,4912.64,1309,1186,7210.88,12433,10959,66630.72
Batang Kuis,150,210,1276.8,295,680,4134.4,250,122,741.76,0,150,912,135,295,1793.6,750,250,1520,240,0,0,0,135,820.8,676,750,4560,361,240,1459.2,0,0,0,0,676,4110.08,2857,3508,21328.64
Pantai Labu,380,0,0,354,1393,8469.44,500,1150,6992,490,380,2310.4,1334,354,2152.32,730,500,3040,286,490,2979.2,530,1334,8110.72,1220,730,4438.4,813,286,1738.88,530,530,3222.4,960,1220,7417.6,8127,8367,50871.36
Beringin,294,672,4085.76,390,510,3100.8,900,780,4742.4,768,294,1787.52,990,390,2371.2,1150,900,5472,780,768,4669.44,779,990,6019.2,1110,1150,6992,230,780,4742.4,438,779,4736.32,0,1110,6748.8,7829,9123,55467.84
Lubuk Pakam,300,325,1976,323,329,2000.32,353,350,2128,230,300,1824,360,323,1963.84,535,353,2146.24,264,230,1398.4,232,360,2188.8,350,535,3252.8,226,264,1605.12,100,232,1410.56,120,350,2128,3393,3951,24022.08
Pagar Merbau,342,328,1994.24,345,280,1702.4,400,90,547.2,200,342,2079.36,924,345,2097.6,410,400,2432,215,200,1216,188,924,5617.92,925,410,2492.8,410,215,1307.2,228,188,1143.04,385,925,5624,4972,4647,28253.76
JUMLAH,4514,4129,25104.32,4942,7905,48062.4,6732,6456,39252.48,5708,4535,27572.8,9319,4942,30047.36,9393,6735,40948.8,6645,5708,34704.64,5444,9319,56659.52,8765,9393,57109.44,7515,6645,40401.6,4681,5444,33099.52,5329,8728,53066.24,78987,79939,486029.12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
